,Q29
1522,"50,000-59,999"
1524,"150,000-199,999"
1525,"30,000-39,999"
1526,"150,000-199,999"
1529,"30,000-39,999"
1535,"$500,000-999,999"
1538,"50,000-59,999"
1549,"7,500-9,999"
1553,"3,000-3,999"
1555,"200,000-249,999"
1557,"40,000-49,999"
1558,"10,000-14,999"
1560,"25,000-29,999"
1566,"80,000-89,999"
1568,"10,000-14,999"
1571,"30,000-39,999"
1573,"5,000-7,499"
1574,"15,000-19,999"
1577,"10,000-14,999"
1584,"80,000-89,999"
1586,"5,000-7,499"
1593,"25,000-29,999"
1596,"90,000-99,999"
1603,"60,000-69,999"
1607,"70,000-79,999"
1610,"300,000-499,999"
1611,"60,000-69,999"
1614,$0-999
1618,"70,000-79,999"
1619,"25,000-29,999"
1621,"150,000-199,999"
1622,"200,000-249,999"
1629,"50,000-59,999"
1633,"1,000-1,999"
1640,"2,000-2,999"
1642,"15,000-19,999"
1645,$0-999
1651,"30,000-39,999"
1655,$0-999
1656,$0-999
1659,"7,500-9,999"
1662,"25,000-29,999"
1670,"30,000-39,999"
1671,$0-999
1674,"7,500-9,999"
1677,"1,000-1,999"
1678,"70,000-79,999"
1682,"25,000-29,999"
1689,"40,000-49,999"
1690,"30,000-39,999"
1691,"15,000-19,999"
1696,"70,000-79,999"
1698,"100,000-124,999"
1702,"80,000-89,999"
1708,"40,000-49,999"
1710,$0-999
1711,"7,500-9,999"
1717,"40,000-49,999"
1718,$0-999
1720,"5,000-7,499"
1722,"90,000-99,999"
1723,"2,000-2,999"
1724,"20,000-24,999"
1728,"2,000-2,999"
1730,"15,000-19,999"
1731,"30,000-39,999"
1732,"70,000-79,999"
1735,"30,000-39,999"
1736,"5,000-7,499"
1737,$0-999
1738,$0-999
1739,$0-999
1743,"40,000-49,999"
1747,"60,000-69,999"
1748,"30,000-39,999"
1749,"7,500-9,999"
1750,"5,000-7,499"
1751,"60,000-69,999"
1758,"100,000-124,999"
1760,"125,000-149,999"
1765,"25,000-29,999"
1771,"15,000-19,999"
1772,"5,000-7,499"
1775,"30,000-39,999"
1778,"70,000-79,999"
1781,$0-999
1784,"30,000-39,999"
1789,"30,000-39,999"
1791,"4,000-4,999"
1796,"5,000-7,499"
1797,"50,000-59,999"
1802,"25,000-29,999"
1803,"1,000-1,999"
1807,"10,000-14,999"
1811,"30,000-39,999"
1814,"50,000-59,999"
1815,"25,000-29,999"
1816,"30,000-39,999"
1819,"30,000-39,999"
1820,"15,000-19,999"
1821,"100,000-124,999"
1822,"30,000-39,999"
1825,"15,000-19,999"
1833,"40,000-49,999"
1835,"20,000-24,999"
1837,"7,500-9,999"
1838,"300,000-499,999"
1839,"5,000-7,499"
1842,"7,500-9,999"
1843,$0-999
1845,"70,000-79,999"
1849,"100,000-124,999"
1850,"30,000-39,999"
1851,"60,000-69,999"
1852,"2,000-2,999"
1853,$0-999
1855,"80,000-89,999"
1863,"1,000-1,999"
1864,"1,000-1,999"
1865,"30,000-39,999"
1868,"15,000-19,999"
1874,"20,000-24,999"
1875,"1,000-1,999"
1882,"25,000-29,999"
1883,"15,000-19,999"
1884,"40,000-49,999"
1886,"80,000-89,999"
1889,"10,000-14,999"
1890,$0-999
1894,"1,000-1,999"
1898,"70,000-79,999"
1907,"5,000-7,499"
1912,"1,000-1,999"
1915,"150,000-199,999"
1916,"90,000-99,999"
1918,"150,000-199,999"
1922,"$500,000-999,999"
1923,$0-999
1924,"40,000-49,999"
1927,"100,000-124,999"
1928,$0-999
1934,"7,500-9,999"
1935,"7,500-9,999"
1937,"1,000-1,999"
1938,"70,000-79,999"
1943,"80,000-89,999"
1945,"50,000-59,999"
1954,"3,000-3,999"
1957,"80,000-89,999"
1958,$0-999
1959,$0-999
1968,"30,000-39,999"
1972,"10,000-14,999"
1974,"90,000-99,999"
1975,"40,000-49,999"
1976,"40,000-49,999"
1977,"90,000-99,999"
1978,"10,000-14,999"
1979,"90,000-99,999"
1980,$0-999
1983,$0-999
1984,"20,000-24,999"
1986,"125,000-149,999"
1990,"2,000-2,999"
1991,"70,000-79,999"
1992,"50,000-59,999"
1993,"150,000-199,999"
2006,$0-999
2011,"1,000-1,999"
2013,"40,000-49,999"
2014,"15,000-19,999"
2016,"80,000-89,999"
2018,$0-999
2020,"70,000-79,999"
2022,"60,000-69,999"
2024,"40,000-49,999"
2026,"50,000-59,999"
2030,"250,000-299,999"
2032,"15,000-19,999"
2036,"$500,000-999,999"
2038,"40,000-49,999"
2040,"40,000-49,999"
2041,"4,000-4,999"
2044,$0-999
2045,"2,000-2,999"
2046,"10,000-14,999"
2047,"150,000-199,999"
2051,"15,000-19,999"
2053,"4,000-4,999"
2055,"10,000-14,999"
2057,"70,000-79,999"
2058,"10,000-14,999"
2061,"7,500-9,999"
2063,"1,000-1,999"
2064,"30,000-39,999"
2068,"150,000-199,999"
2073,"80,000-89,999"
2077,"40,000-49,999"
2082,"3,000-3,999"
2086,$0-999
2087,"2,000-2,999"
2091,"150,000-199,999"
2093,"5,000-7,499"
2094,"5,000-7,499"
2096,"300,000-499,999"
2097,"15,000-19,999"
2099,"25,000-29,999"
2100,"10,000-14,999"
2102,"10,000-14,999"
2107,$0-999
2109,"30,000-39,999"
2112,"$500,000-999,999"
2113,"70,000-79,999"
2114,"50,000-59,999"
2115,"60,000-69,999"
2116,$0-999
2127,"25,000-29,999"
2131,"10,000-14,999"
2139,"30,000-39,999"
2144,"40,000-49,999"
2150,"1,000-1,999"
2154,"10,000-14,999"
2155,"5,000-7,499"
2156,"100,000-124,999"
2158,"20,000-24,999"
2159,"90,000-99,999"
2160,"125,000-149,999"
2162,"40,000-49,999"
2163,"1,000-1,999"
2165,"150,000-199,999"
2166,"5,000-7,499"
2170,"90,000-99,999"
2171,"100,000-124,999"
2176,"15,000-19,999"
2177,"150,000-199,999"
2183,"10,000-14,999"
2186,"5,000-7,499"
2187,"10,000-14,999"
2198,"80,000-89,999"
2199,">$1,000,000"
2205,"150,000-199,999"
2206,"40,000-49,999"
2207,$0-999
2210,"125,000-149,999"
2219,"200,000-249,999"
2250,"30,000-39,999"
2251,"100,000-124,999"
2259,"$500,000-999,999"
2262,"250,000-299,999"
2264,"20,000-24,999"
2267,"90,000-99,999"
2269,$0-999
2273,"80,000-89,999"
2274,"60,000-69,999"
2276,"4,000-4,999"
2277,"2,000-2,999"
2282,"150,000-199,999"
2285,$0-999
2290,"1,000-1,999"
2291,"125,000-149,999"
2295,"30,000-39,999"
2300,"7,500-9,999"
2301,"10,000-14,999"
2307,"1,000-1,999"
2313,"50,000-59,999"
2314,"60,000-69,999"
2315,"90,000-99,999"
2319,"25,000-29,999"
2321,"20,000-24,999"
2323,"5,000-7,499"
2325,"1,000-1,999"
2327,"4,000-4,999"
2328,"15,000-19,999"
2331,"150,000-199,999"
2332,"5,000-7,499"
2334,"5,000-7,499"
2335,"200,000-249,999"
2339,"20,000-24,999"
2342,$0-999
2343,"150,000-199,999"
2347,"200,000-249,999"
2348,"40,000-49,999"
2355,"60,000-69,999"
2357,$0-999
2362,"1,000-1,999"
2364,"5,000-7,499"
2365,"90,000-99,999"
2372,"30,000-39,999"
2373,"30,000-39,999"
2377,$0-999
2380,"4,000-4,999"
2381,"10,000-14,999"
2382,"80,000-89,999"
2383,"3,000-3,999"
2384,"2,000-2,999"
2389,"50,000-59,999"
2393,"50,000-59,999"
2395,"3,000-3,999"
2396,"100,000-124,999"
2399,"10,000-14,999"
2404,$0-999
2410,"30,000-39,999"
2415,"5,000-7,499"
2418,"100,000-124,999"
2421,"1,000-1,999"
2422,"50,000-59,999"
2424,"7,500-9,999"
2426,$0-999
2427,"25,000-29,999"
2429,$0-999
2430,"80,000-89,999"
2432,"40,000-49,999"
2434,"10,000-14,999"
2436,"125,000-149,999"
2441,"10,000-14,999"
2442,"$500,000-999,999"
2448,"1,000-1,999"
2449,"200,000-249,999"
2451,"3,000-3,999"
2453,"7,500-9,999"
2455,"150,000-199,999"
2458,"1,000-1,999"
2459,"40,000-49,999"
2460,"150,000-199,999"
2463,"80,000-89,999"
2464,"250,000-299,999"
2467,$0-999
2468,"150,000-199,999"
2483,"10,000-14,999"
2492,"1,000-1,999"
2494,$0-999
2497,"1,000-1,999"
2501,"10,000-14,999"
2507,"50,000-59,999"
2508,">$1,000,000"
2512,"7,500-9,999"
2513,"60,000-69,999"
2514,"3,000-3,999"
2517,"125,000-149,999"
2518,$0-999
2520,"300,000-499,999"
2521,"100,000-124,999"
2524,"100,000-124,999"
2525,"15,000-19,999"
2527,"5,000-7,499"
2528,"50,000-59,999"
2530,"100,000-124,999"
2531,"80,000-89,999"
2536,"150,000-199,999"
2539,"50,000-59,999"
2540,"30,000-39,999"
2543,$0-999
2549,"1,000-1,999"
2550,"15,000-19,999"
2556,"50,000-59,999"
2557,"70,000-79,999"
2563,"150,000-199,999"
2565,"90,000-99,999"
2566,"80,000-89,999"
2567,">$1,000,000"
2570,"20,000-24,999"
2571,"80,000-89,999"
2573,"15,000-19,999"
2575,"125,000-149,999"
2576,"7,500-9,999"
2579,"7,500-9,999"
2580,"100,000-124,999"
2584,"4,000-4,999"
2587,"50,000-59,999"
2588,"150,000-199,999"
2589,$0-999
2590,"250,000-299,999"
2591,"100,000-124,999"
2593,$0-999
2594,"7,500-9,999"
2598,"30,000-39,999"
2599,"1,000-1,999"
2604,"7,500-9,999"
2606,$0-999
2611,"40,000-49,999"
2616,"40,000-49,999"
2618,"80,000-89,999"
2620,"2,000-2,999"
2621,"40,000-49,999"
2622,"3,000-3,999"
2631,"200,000-249,999"
2632,"40,000-49,999"
2633,"125,000-149,999"
2641,"25,000-29,999"
2643,"10,000-14,999"
2647,"30,000-39,999"
2648,"10,000-14,999"
2651,"$500,000-999,999"
2652,"50,000-59,999"
2653,"10,000-14,999"
2655,"300,000-499,999"
2656,"10,000-14,999"
2662,"125,000-149,999"
2664,"1,000-1,999"
2669,"150,000-199,999"
2677,"125,000-149,999"
2683,"25,000-29,999"
2684,"20,000-24,999"
2690,"7,500-9,999"
2692,$0-999
2698,"2,000-2,999"
2699,"1,000-1,999"
2703,"90,000-99,999"
2705,"1,000-1,999"
2706,"4,000-4,999"
2707,"2,000-2,999"
2712,"60,000-69,999"
2713,"2,000-2,999"
2715,"30,000-39,999"
2717,"20,000-24,999"
2718,"70,000-79,999"
2720,"10,000-14,999"
2721,"10,000-14,999"
2722,"150,000-199,999"
2727,"90,000-99,999"
2728,"100,000-124,999"
2732,$0-999
2734,"50,000-59,999"
2740,"100,000-124,999"
2744,$0-999
2745,"15,000-19,999"
2746,"7,500-9,999"
2749,"4,000-4,999"
2750,"150,000-199,999"
2752,"1,000-1,999"
2754,"3,000-3,999"
2755,"15,000-19,999"
2758,"15,000-19,999"
2767,"1,000-1,999"
2768,"1,000-1,999"
2769,"1,000-1,999"
2771,"5,000-7,499"
2774,"100,000-124,999"
2776,"10,000-14,999"
2781,"7,500-9,999"
2782,"10,000-14,999"
2789,"10,000-14,999"
2796,"2,000-2,999"
2800,"80,000-89,999"
2801,"10,000-14,999"
2802,"100,000-124,999"
2806,"4,000-4,999"
2809,"150,000-199,999"
2810,"70,000-79,999"
2811,"20,000-24,999"
2813,"20,000-24,999"
2818,"50,000-59,999"
2819,"125,000-149,999"
2821,"25,000-29,999"
2822,"3,000-3,999"
2828,"60,000-69,999"
2829,"30,000-39,999"
2836,$0-999
2837,"25,000-29,999"
2839,"200,000-249,999"
2840,"15,000-19,999"
2841,"10,000-14,999"
2847,"125,000-149,999"
2851,"1,000-1,999"
2855,$0-999
2856,"1,000-1,999"
2857,"70,000-79,999"
2858,"200,000-249,999"
2863,$0-999
2864,"30,000-39,999"
2866,"40,000-49,999"
2870,"80,000-89,999"
2872,"15,000-19,999"
2878,"40,000-49,999"
2882,"5,000-7,499"
2884,"7,500-9,999"
2888,"30,000-39,999"
2890,"7,500-9,999"
2891,"150,000-199,999"
2892,"300,000-499,999"
2895,"300,000-499,999"
2897,$0-999
2904,$0-999
2905,"60,000-69,999"
2908,"10,000-14,999"
2913,"15,000-19,999"
2920,"7,500-9,999"
2924,"20,000-24,999"
2925,"200,000-249,999"
2926,"10,000-14,999"
2927,"7,500-9,999"
2929,"30,000-39,999"
2930,"30,000-39,999"
2933,$0-999
2934,"50,000-59,999"
2938,"10,000-14,999"
2940,$0-999
2944,"10,000-14,999"
2947,"60,000-69,999"
2948,"10,000-14,999"
2953,"50,000-59,999"
2955,"100,000-124,999"
2959,"50,000-59,999"
2962,"50,000-59,999"
2964,"100,000-124,999"
2965,"150,000-199,999"
2966,"60,000-69,999"
2968,"25,000-29,999"
2970,"4,000-4,999"
2971,$0-999
2981,"50,000-59,999"
2983,"2,000-2,999"
2998,"2,000-2,999"
2999,"125,000-149,999"
3001,"2,000-2,999"
3003,"40,000-49,999"
3005,"5,000-7,499"
3007,"60,000-69,999"
3008,"300,000-499,999"
3009,"1,000-1,999"
3013,"4,000-4,999"
3016,$0-999
3017,"40,000-49,999"
3019,"10,000-14,999"
3022,"40,000-49,999"
3026,"5,000-7,499"
3027,"4,000-4,999"
3034,"60,000-69,999"
3039,"25,000-29,999"
3048,"100,000-124,999"
3052,"5,000-7,499"
3055,"7,500-9,999"
3059,"5,000-7,499"
3069,"5,000-7,499"
3070,"7,500-9,999"
3077,"3,000-3,999"
3081,"40,000-49,999"
3083,"4,000-4,999"
3098,"125,000-149,999"
3099,"1,000-1,999"
3100,$0-999
3102,"150,000-199,999"
3106,"50,000-59,999"
3107,"150,000-199,999"
3111,"25,000-29,999"
3112,"1,000-1,999"
3118,"2,000-2,999"
3119,"15,000-19,999"
3120,"3,000-3,999"
3121,"50,000-59,999"
3125,"$500,000-999,999"
3128,"60,000-69,999"
3129,"5,000-7,499"
3131,"50,000-59,999"
3132,$0-999
3135,"2,000-2,999"
3136,"40,000-49,999"
3139,"4,000-4,999"
3144,"10,000-14,999"
3146,"25,000-29,999"
3153,"4,000-4,999"
3154,"30,000-39,999"
3156,"10,000-14,999"
3157,"125,000-149,999"
3158,$0-999
3159,"5,000-7,499"
3162,"50,000-59,999"
3163,"25,000-29,999"
3164,$0-999
3167,"3,000-3,999"
3168,"5,000-7,499"
3169,"4,000-4,999"
3170,$0-999
3171,"7,500-9,999"
3173,"15,000-19,999"
3175,"15,000-19,999"
3180,$0-999
3183,"125,000-149,999"
3186,$0-999
3187,"25,000-29,999"
3188,"25,000-29,999"
3191,$0-999
3192,"150,000-199,999"
3194,"2,000-2,999"
3197,"3,000-3,999"
3200,"7,500-9,999"
3206,"25,000-29,999"
3210,$0-999
3211,"90,000-99,999"
3218,"40,000-49,999"
3224,"1,000-1,999"
3225,"150,000-199,999"
3226,"40,000-49,999"
3233,"5,000-7,499"
3234,"50,000-59,999"
3236,"25,000-29,999"
3242,"50,000-59,999"
3245,"150,000-199,999"
3246,"3,000-3,999"
3247,"70,000-79,999"
3251,"10,000-14,999"
3252,"250,000-299,999"
3257,"100,000-124,999"
3258,"100,000-124,999"
3263,"60,000-69,999"
3266,"3,000-3,999"
3274,"10,000-14,999"
3279,"4,000-4,999"
3282,"10,000-14,999"
3286,"100,000-124,999"
3287,"20,000-24,999"
3288,"30,000-39,999"
3289,"100,000-124,999"
3291,"40,000-49,999"
3292,"7,500-9,999"
3293,"10,000-14,999"
3294,$0-999
3295,"60,000-69,999"
3299,"1,000-1,999"
3300,"4,000-4,999"
3303,"80,000-89,999"
3310,"60,000-69,999"
3313,"200,000-249,999"
3315,"50,000-59,999"
3319,"150,000-199,999"
3323,"5,000-7,499"
3324,"50,000-59,999"
3326,"20,000-24,999"
3327,"20,000-24,999"
3328,"25,000-29,999"
3336,"2,000-2,999"
3339,"3,000-3,999"
3341,$0-999
3343,"2,000-2,999"
3346,"5,000-7,499"
3355,"40,000-49,999"
3356,"25,000-29,999"
3361,"60,000-69,999"
3362,"2,000-2,999"
3364,$0-999
3366,"100,000-124,999"
3370,"300,000-499,999"
3371,"20,000-24,999"
3372,"60,000-69,999"
3375,"150,000-199,999"
3376,$0-999
3378,"40,000-49,999"
3380,"50,000-59,999"
3384,"5,000-7,499"
3385,"50,000-59,999"
3388,"3,000-3,999"
3389,"3,000-3,999"
3393,"10,000-14,999"
3394,"15,000-19,999"
